region,year,urban_share_pct,agri_ha_per_capita
Europe,1984,66.94973742238335,1.0177205727455727
Europe,1985,67.12920120151975,1.0130484421518267
Europe,1986,67.30478057748508,1.0075705398534291
Europe,1987,67.49983665434415,0.9985581296035395
Europe,1988,67.67961038345034,0.9928167964768871
Europe,1989,67.76460473801033,0.9868439416933515
Europe,1990,67.79578126733773,0.9801922145280695
Europe,1991,67.83436057558319,0.9721425445139814
Europe,1992,69.94278439192085,0.684311893336997
Europe,1993,70.13993264193653,0.6785394317922125
Europe,1994,70.26263924780311,0.6754843857919488
Europe,1995,70.38104521702103,0.6710004128520713
Europe,1996,70.50671514165518,0.6701821092712388
Europe,1997,70.58913959293551,0.6717734310260493
Europe,1998,70.71354088336946,0.670108369605516
Europe,1999,70.85346950772775,0.6682515257955746
Europe,2000,70.96278627350841,0.6654436030122564
Europe,2001,71.10049418648013,0.6615828095456627
Europe,2002,71.22903446449367,0.657192542961339
Europe,2003,71.3595080108024,0.6531808291472606
Europe,2004,71.55318579732472,0.6504619897648632
Europe,2005,71.7758558990816,0.6488298834777229
Europe,2006,72.03565555814713,0.6447671018106794
Europe,2007,72.2570199622922,0.6402544675014302
Europe,2008,72.44275201078295,0.6401373890344876
Europe,2009,72.64625837630757,0.6368306993311156
Europe,2010,72.84109093856974,0.6336698101348007
Europe,2011,73.01092711587901,0.631098367801342
Europe,2012,73.162239247079,0.6287990494707761
Europe,2013,73.30885160290956,0.6276177190243917
Europe,2014,73.4322408805044,0.6240740778568746
Europe,2015,73.51792611644721,0.6222608042250679
Europe,2016,73.59628578747007,0.619746009043441
Europe,2017,73.71396197349709,0.6185117277353737
Europe,2018,73.86288786264501,0.6163880471668913
Europe,2019,74.02664092105731,0.6173822054442966
Europe,2020,74.27172415191878,0.6144210682584893
Europe,2021,74.59847323567534,0.615006323173774
Europe,2022,74.99074339699914,0.614673153107926
Europe,2023,75.34845499735188,0.6109169750918941
Europe,2024,75.61804416055864,0.6109133339781292
Europe,2025,75.90368294364164,
Oceania,1961,67.03375330226584,30.15865456805552
Oceania,1962,67.30201455431589,29.665129090238715
Oceania,1963,67.60096008969103,29.22930335760454
Oceania,1964,67.95629197428539,28.786528377772655
Oceania,1965,68.37190924062098,28.43835325325705
Oceania,1966,68.8801734532196,27.896336414556576
Oceania,1967,69.52553355893335,27.510038945867727
Oceania,1968,70.24219510960577,28.29792933692879
Oceania,1969,70.824861618515,27.60955690341759
Oceania,1970,70.96845183810618,26.063007198078324
Oceania,1971,70.75087916700004,25.66377108252673
Oceania,1972,70.60893424832275,25.124279009606276
Oceania,1973,70.67729558716981,24.585365572185502
Oceania,1974,70.69508743326296,24.283264410689608
Oceania,1975,70.75525643817471,23.89974635785486
Oceania,1976,70.8649188913773,23.66139720171051
Oceania,1977,70.92462189896375,22.95042642392617
Oceania,1978,70.96681424953462,22.89129925567607
Oceania,1979,71.03670622220613,22.49029857796055
Oceania,1980,71.08284962587777,22.307119995709705
Oceania,1981,71.04354808080848,21.9927170013607
Oceania,1982,70.87631716334243,21.411289614519088
Oceania,1983,70.80902416662404,20.788019467473987
Oceania,1984,70.84164099415034,20.59452597102634
Oceania,1985,70.90750741779523,20.305418589583883
Oceania,1986,70.96987614067874,19.280120479532396
Oceania,1987,71.0308350225274,19.075006953624328
Oceania,1988,71.06222368726021,18.810237853181004
