region,year,kg_per_capita,production_mt,population_m
Oceania,1968,1054.377522279888,19.685086,18.669865
Oceania,1969,792.2845771139051,15.079897,19.033435
Oceania,1970,693.2802375153472,13.514676,19.493814
Oceania,1971,779.4515766760048,15.616879,20.035727
Oceania,1972,570.8973094238454,11.699849,20.493789
Oceania,1973,855.6872242562221,17.854631,20.865838
Oceania,1974,801.4815875612784,17.013775,21.227905
Oceania,1975,856.9909971280736,18.472926,21.555566
Oceania,1976,842.3047039050085,18.397728,21.842129
Oceania,1977,694.4116739872068,15.356401,22.114261
Oceania,1978,1167.5986259473707,26.134513,22.383131
Oceania,1979,1067.8618378361198,24.19068,22.65338
Oceania,1980,749.2671579914881,17.198775,22.954129
Oceania,1981,1053.0470510389985,24.543534,23.307158
Oceania,1982,637.7081948800657,15.107501,23.690304
Oceania,1983,1328.7571186320026,31.975396,24.064139
Oceania,1984,1218.4744823179549,29.75604,24.420733
Oceania,1985,1056.0652414851193,26.166383,24.777241
Oceania,1986,1003.0925068092804,25.227275,25.1495
Oceania,1987,819.289974375038,20.928134,25.544233
Oceania,1988,874.496033609985,22.698503,25.956096
Oceania,1989,875.1810216586031,23.084368,26.376678
Oceania,1990,892.4447927265346,23.95235792,26.839036
Oceania,1991,717.6734140873099,19.60323567,27.314981
Oceania,1992,934.4644955169359,25.92794438,27.746313
Oceania,1993,982.367501010956,27.657618829999997,28.154045
Oceania,1994,572.7234152686415,16.3642801,28.572745
Oceania,1995,960.7894279159331,27.88684589,29.02493
Oceania,1996,1206.856542610454,35.60027428,29.498348
Oceania,1997,1077.703189904354,32.29260445,29.964284
Oceania,1998,1101.6168523354556,33.51092026,30.41976
Oceania,1999,1172.949340382774,36.220444560000004,30.879803
Oceania,2000,1124.6574755593024,35.26096296,31.352624
Oceania,2001,1249.8878022488536,39.8050456,31.846895
Oceania,2002,633.5130819253119,20.50408612,32.365687
Oceania,2003,1280.2063632185507,42.11140768,32.894234
Oceania,2004,1064.5648893080945,35.576426829999996,33.418749000000005
Oceania,2005,1197.411085287385,40.659115990000004,33.955854
Oceania,2006,603.199767365616,20.83454168,34.540036
Oceania,2007,714.4625106515537,25.14172284,35.189702
Oceania,2008,1009.8878256906736,36.244910420000004,35.890036
Oceania,2009,972.3586943826341,35.58171812,36.593202
Oceania,2010,1078.2806092677986,40.1700135,37.253766
Oceania,2011,1157.586542170425,43.860682049999994,37.889765
Oceania,2012,949.9167570488858,36.61945342,38.550171
Oceania,2013,1045.2700814049756,41.00970513,39.233597
Oceania,2014,937.0971908092088,37.4074533,39.918435
Oceania,2015,919.0443396093319,37.326690840000005,40.614679
Oceania,2016,1242.9041458422607,51.3902558,41.346918
Oceania,2017,828.1802247868472,34.861132659999996,42.093655
Oceania,2018,724.225092763294,31.00781105,42.815157
Oceania,2019,655.0350001927401,28.49676645,43.504189
Oceania,2020,1143.344659519525,50.397459520000005,44.078974
Oceania,2021,1256.7254662283128,55.99743975,44.558212
Oceania,2022,1345.598675674566,60.618345700000006,45.04935
Oceania,2023,968.8546942925154,44.14372007,45.562787
Oceania,2024,1160.686803468337,53.494564450000006,46.088716
World,1961,286.10507797802416,876.874515,3064.868758
World,1962,298.8348884567147,933.372941,3123.373398
World,1963,297.3389577761845,949.345879,3192.80691
World,1964,306.698792642978,1001.214043,3264.486418
World,1965,299.4701387278235,998.593005,3334.532816
World,1966,316.78243549341545,1078.340172,3404.040285
World,1967,323.6245199394099,1124.081315,3473.412074
World,1968,327.39575869792003,1160.679018,3545.186482
World,1969,323.52066279280575,1170.980071,3619.490826
World,1970,322.7631870405672,1192.507676,3694.683049
World,1971,344.7534184321846,1299.667684,3769.847127
World,1972,327.30972649257563,1258.478713,3844.916943
World,1973,346.1063194552342,1357.015148,3920.804307
World,1974,331.9348267153581,1326.549441,3996.415363
World,1975,334.0438947732958,1359.804022,4070.734545
World,1976,353.19119571793203,1463.711074,4144.245643
World,1977,345.28010313006223,1456.344192,4217.863059
World,1978,368.5889887214057,1582.019605,4292.096762
World,1979,351.94871167799477,1537.501598,4368.538787
World,1980,348.48238258527573,1549.912159,4447.605493
World,1981,360.44658086602834,1632.382028,4528.776564
World,1982,366.93257619854944,1692.53987,4612.672681
World,1983,346.3557680362355,1626.946244,4697.326836
World,1984,373.63658781451255,1786.795469,4782.174785
World,1985,374.0526349349337,1821.240859,4868.942734
World,1986,369.9063644194987,1834.022428,4958.072108
World,1987,350.8154931893097,1771.529017,5049.745668
World,1988,335.98410820029363,1727.627534,5141.991814
World,1989,357.50888527424405,1871.355594,5234.431006
World,1990,366.4876507408223,1952.57377969,5327.802385
World,1991,348.4350239345135,1888.07711726,5418.735166
World,1992,358.57851604512405,1974.32939797,5505.989092
World,1993,339.86648343649165,1900.37842277,5591.544078
World,1994,344.8874967036348,1957.4264198800001,5675.550545
World,1995,329.03461328550065,1894.87028716,5758.878278
World,1996,351.1989040021767,2051.72332471,5842.055033
World,1997,353.427314695389,2093.98160161,5924.787119
World,1998,345.19633532349644,2073.61716683,6007.065993
World,1999,342.37224269191364,2084.7065181,6089.005644
World,2000,333.4417017359497,2057.90291852,6171.702303
World,2001,336.82688271719616,2106.8305197,6254.935778
World,2002,321.4460903613381,2037.23842451,6337.729671
World,2003,326.88983952564274,2098.75076718,6420.36097
World,2004,350.1458088626369,2277.1302392199996,6503.377112
World,2005,343.69004141124856,2263.87581095,6586.969473
World,2006,335.0829811970629,2235.48981062,6671.45136
World,2007,347.6271994510173,2349.0241024499996,6757.308134
World,2008,368.08691164219846,2519.3550481999996,6844.457025
World,2009,359.0274910162633,2489.05350631,6932.765787
World,2010,351.9020284339618,2470.96156747,7021.731527
World,2011,364.01709852566273,2588.49761363,7110.923152
World,2012,353.17468257680287,2543.2821891999997,7201.201883
World,2013,379.3554757844576,2766.18160094,7291.792995
World,2014,382.7343711721414,2825.19802863,7381.615662
World,2015,379.5199261391978,2835.20030602,7470.491299
World,2016,388.4323651534976,2935.9869926,7558.553962
World,2017,384.6305653045928,2940.7381422800004,7645.617399
World,2018,375.11974855397375,2899.63898274,7729.902235
World,2019,379.7201340323066,2966.10528682,7811.293163
World,2020,383.6703905763689,3026.0086636,7887.000764
World,2021,386.59463962395876,3075.14690887,7954.447873
World,2022,380.79240391851636,3054.49073477,8021.406686
World,2023,386.35380177258054,3126.2723615100003,8091.734434
World,2024,383.8806003452589,3133.22274092,8161.972077
